graph_id,from,to,artifact,guard,authority_check,stale_invalidation
FMI-G02,N1_CANDIDATE,N2_CORROBORATE,NewsCandidate,true,none,on material input/version change
FMI-G02,N2_CORROBORATE,N3_INJECTION,CorroborationSet,true,none,on material input/version change
FMI-G02,N3_INJECTION,N4_FACT,SafeEvidence,status=PASS,none,on material input/version change
FMI-G02,N4_FACT,N5_EVENT,NewsFactSet,true,none,on material input/version change
FMI-G02,N5_EVENT,N6_PUBLISH,NewsEventApproval,status=APPROVED,none,on material input/version change
FMI-G03,RC1_OBS,RC3_SAMPLE,RateSampleSet,true,none,on material input/version change
FMI-G03,RC2_CAP,RC3_SAMPLE,CapacitySampleSet,true,none,on material input/version change
FMI-G03,RC3_SAMPLE,RC4_DERIVE,SampleQuality,rate_status=PASS,none,on material input/version change
FMI-G03,RC3_SAMPLE,RC5_DERIVE,SampleQuality,capacity_status=PASS,none,on material input/version change
FMI-G03,RC4_DERIVE,RC6_COMBINE,RateDerivedSignal,true,none,on material input/version change
FMI-G03,RC5_DERIVE,RC6_COMBINE,CapacityDerivedSignal,true,none,on material input/version change
FMI-G03,RC6_COMBINE,RC7_PUBLISH,LaneMarketSignal,true,none,on material input/version change
FMI-G04,DV1_DEMAND,DV5_REGIME,DemandSignal,true,none,on material input/version change
FMI-G04,DV2_SEASON,DV5_REGIME,SeasonalitySignal,true,none,on material input/version change
FMI-G04,DV3_FUEL,DV5_REGIME,CostSignal,true,none,on material input/version change
FMI-G04,DV4_DISRUPT,DV5_REGIME,DisruptionSignal,true,none,on material input/version change
FMI-G04,DV5_REGIME,DV6_LANE,MarketRegime,true,none,on material input/version change
FMI-G04,DV6_LANE,DV7_PUBLISH,CorridorState,true,none,on material input/version change
FMI-G05,FC1_INPUT,FC2_MODELS,ForecastFeatureSnapshot,true,none,on material input/version change
FMI-G05,FC2_MODELS,FC3_ENSEMBLE,ComponentForecastSet,true,none,on material input/version change
FMI-G05,FC3_ENSEMBLE,FC4_CAL,ForecastCandidate,true,none,on material input/version change
FMI-G05,FC4_CAL,FC5_LIMITS,CalibrationResult,status=PASS,none,on material input/version change
FMI-G05,FC5_LIMITS,FC6_PUBLISH,MarketForecastEnvelope,true,none,on material input/version change
FMI-G06,CR1_PROFILE,CR2_SIGNAL,CustomerRelevanceProfile,true,none,on material input/version change
FMI-G06,CR2_SIGNAL,CR3_SCORE,SignalMatchSet,true,none,on material input/version change
FMI-G06,CR3_SCORE,CR4_PRIVACY,RelevanceAssessment,true,none,on material input/version change
FMI-G06,CR4_PRIVACY,CR5_IMPACT,DisclosureDecision,status=ALLOW,data_disclosure_policy,on material input/version change
FMI-G06,CR5_IMPACT,CR6_PUBLISH,CustomerMarketImpact,true,none,on material input/version change
FMI-G07,BA1_SELECT,BA2_DRAFT,BriefEvidenceBundle,true,none,on material input/version change
FMI-G07,BA2_DRAFT,BA3_QUALITY,MarketBriefDraft,true,none,on material input/version change
FMI-G07,BA3_QUALITY,BA4_POLICY,BriefReview,status=PASS,none,on material input/version change
FMI-G07,BA4_POLICY,BA5_DELIVER,DeliveryAuthorization,decision=ALLOW,communication_policy,on material input/version change
FMI-G07,BA5_DELIVER,BA6_ACK,DeliveryResult,true,none,on material input/version change
FMI-G08,MM1_SOURCE,MM2_REGION,MaintenanceObservationSet,true,none,on material input/version change
FMI-G08,MM2_REGION,MM3_AVAIL,RegionalContext,true,none,on material input/version change
FMI-G08,MM3_AVAIL,MM4_IMPACT,MaintenanceAvailabilitySignal,true,none,on material input/version change
FMI-G08,MM4_IMPACT,MM5_PUBLISH,MaintenanceCustomerImpact,true,none,on material input/version change
FMI-G09,RP1_DETECT,RP2_VERIFY,PolicyCandidate,true,none,on material input/version change
FMI-G09,RP2_VERIFY,RP3_SCOPE,VerifiedPolicyChange,true,none,on material input/version change
FMI-G09,RP3_SCOPE,RP4_REVIEW,ApplicabilityContext,materiality>=threshold,none,on material input/version change
FMI-G09,RP4_REVIEW,RP5_PUBLISH,ReviewedPolicySignal,true,none,on material input/version change
FMI-G10,CX1_TRIGGER,CX2_IMPACT,CorrectionTrigger,true,none,on material input/version change
FMI-G10,CX2_IMPACT,CX3_MARK,DependencyImpact,true,none,on material input/version change
FMI-G10,CX3_MARK,CX4_RECOMPUTE,SupersessionEvent,true,none,on material input/version change
FMI-G10,CX4_RECOMPUTE,CX5_NOTIFY,RecomputedArtifactSet,customer_materiality=true,none,on material input/version change
FMI-G10,CX5_NOTIFY,CX6_CLOSE,CorrectionDeliveryResult,true,none,on material input/version change
XPL-G01,XC1_READ,XC2_INTERPRET,FMIContext,true,none,on material input/version change
XPL-G01,XC2_INTERPRET,XC3_POLICY,DomainProposal,true,none,on material input/version change
XPL-G01,XC3_POLICY,XC4_APPROVAL,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
XPL-G01,XC3_POLICY,XC5_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
XPL-G01,XC4_APPROVAL,XC5_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
XPL-G01,XC5_COMMAND,XC6_RECON,CommandResult,true,none,on material input/version change
XPL-G02,XC1_READ,XC2_INTERPRET,FMIContext,true,none,on material input/version change
XPL-G02,XC2_INTERPRET,XC3_POLICY,DomainProposal,true,none,on material input/version change
XPL-G02,XC3_POLICY,XC4_APPROVAL,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
XPL-G02,XC3_POLICY,XC5_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
XPL-G02,XC4_APPROVAL,XC5_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
XPL-G02,XC5_COMMAND,XC6_RECON,CommandResult,true,none,on material input/version change
XPL-G03,XC1_READ,XC2_INTERPRET,FMIContext,true,none,on material input/version change
XPL-G03,XC2_INTERPRET,XC3_POLICY,DomainProposal,true,none,on material input/version change
XPL-G03,XC3_POLICY,XC4_APPROVAL,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
XPL-G03,XC3_POLICY,XC5_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
XPL-G03,XC4_APPROVAL,XC5_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
XPL-G03,XC5_COMMAND,XC6_RECON,CommandResult,true,none,on material input/version change
XPL-G04,XC1_READ,XC2_INTERPRET,FMIContext,true,none,on material input/version change
XPL-G04,XC2_INTERPRET,XC3_POLICY,DomainProposal,true,none,on material input/version change
XPL-G04,XC3_POLICY,XC4_APPROVAL,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
XPL-G04,XC3_POLICY,XC5_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
XPL-G04,XC4_APPROVAL,XC5_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
XPL-G04,XC5_COMMAND,XC6_RECON,CommandResult,true,none,on material input/version change
XPL-G05,XC1_READ,XC2_INTERPRET,FMIContext,true,none,on material input/version change
XPL-G05,XC2_INTERPRET,XC3_POLICY,DomainProposal,true,none,on material input/version change
XPL-G05,XC3_POLICY,XC4_APPROVAL,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
XPL-G05,XC3_POLICY,XC5_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
XPL-G05,XC4_APPROVAL,XC5_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
XPL-G05,XC5_COMMAND,XC6_RECON,CommandResult,true,none,on material input/version change
XPL-G06,XC1_READ,XC2_INTERPRET,FMIContext,true,none,on material input/version change
XPL-G06,XC2_INTERPRET,XC3_POLICY,DomainProposal,true,none,on material input/version change
XPL-G06,XC3_POLICY,XC4_APPROVAL,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
XPL-G06,XC3_POLICY,XC5_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
XPL-G06,XC4_APPROVAL,XC5_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
XPL-G06,XC5_COMMAND,XC6_RECON,CommandResult,true,none,on material input/version change
TWIN-G01,TB1_DISCOVER,TB2_MAP,SystemDiscoverySnapshot,true,none,on material input/version change
TWIN-G01,TB2_MAP,TB3_AUTHORITY,SystemMappingProposal,true,none,on material input/version change
TWIN-G01,TB3_AUTHORITY,TB4_REVIEW,SystemBindingProposal,true,none,on material input/version change
TWIN-G01,TB4_REVIEW,TB5_CONFORMANCE,ApprovedSystemBinding,approved=true,customer_configuration_approval,on material input/version change
TWIN-G01,TB5_CONFORMANCE,TB6_ACTIVATE,ConformanceResult,result=PASS,integration_activation_policy,on material input/version change
TWIN-G02,TS1_RECEIVE,TS2_DEDUPE,ExternalChangeEvent,true,none,on material input/version change
TWIN-G02,TS2_DEDUPE,TS3_MAP,OrderedExternalChange,true,none,on material input/version change
TWIN-G02,TS3_MAP,TS4_AUTH,NormalizedTwinObservation,true,none,on material input/version change
TWIN-G02,TS4_AUTH,TS5_PROJECT,AuthorizedTwinFact,decision=apply,fact_authority_binding,on material input/version change
TWIN-G02,TS5_PROJECT,TS6_IMPACT,TwinFactChange,true,none,on material input/version change
TWIN-G03,TH1_INTAKE,TH2_ASSIST,HumanWorkIntake,true,none,on material input/version change
TWIN-G03,TH2_ASSIST,TH3_REVIEW,AgentAssistance,true,none,on material input/version change
TWIN-G03,TH3_REVIEW,TH4_DECIDE,ReviewedAssistance,true,none,on material input/version change
TWIN-G03,TH4_DECIDE,TH5_HANDOFF,HumanDecision,true,human_domain_authority,on material input/version change
TWIN-G04,TC1_PREPARE,TC2_POLICY,DomainProposal,true,none,on material input/version change
TWIN-G04,TC2_POLICY,TC3_REVIEW,ApprovalRequest,decision=APPROVAL_REQUIRED,operational_policy,on material input/version change
TWIN-G04,TC3_REVIEW,TC4_COMMAND,Approval,approved=true,human_or_service_approval,on material input/version change
TWIN-G04,TC2_POLICY,TC4_COMMAND,AuthorizedProposal,decision=ALLOW,operational_policy,on material input/version change
TWIN-G04,TC4_COMMAND,TC5_RECON,CommandResult,true,none,on material input/version change
TWIN-G05,TW1_INTENT,TW2_BINDING,ExternalWriteIntent,true,none,on material input/version change
TWIN-G05,TW2_BINDING,TW3_EXEC,AuthorizedExternalWrite,decision=ALLOW,integration_write_policy,on material input/version change
TWIN-G05,TW3_EXEC,TW4_RECON,ExternalWriteResult,true,none,on material input/version change
TWIN-G05,TW4_RECON,TW5_PROJECT,ReconciledExternalState,effect=confirmed,none,on material input/version change
TWIN-G06,TL1_OBSERVE,TL2_VALIDATE,TwinLearningCandidate,true,none,on material input/version change
TWIN-G06,TL2_VALIDATE,TL3_IMPACT,TwinChangeProposal,true,none,on material input/version change
TWIN-G06,TL3_IMPACT,TL4_REVIEW,TwinChangeImpact,true,none,on material input/version change
TWIN-G06,TL4_REVIEW,TL5_VERSION,ApprovedTwinChange,approved=true,customer_configuration_approval,on material input/version change
TWIN-G06,TL5_VERSION,TL6_RECERT,TwinSemanticDiff,true,none,on material input/version change
TWIN-G07,TN1_RECEIVE,TN2_VERIFY,NetworkInboundEnvelope,true,none,on material input/version change
TWIN-G07,TN2_VERIFY,TN3_MAP,VerifiedNetworkArtifact,decision=ALLOW,network_relationship_policy,on material input/version change
TWIN-G07,TN3_MAP,TN4_ROUTE,MappedNetworkRequest,true,none,on material input/version change
TWIN-G07,TN4_ROUTE,TN5_DECIDE,AuthorizedNetworkRequest,true,none,on material input/version change
TWIN-G08,NP1_CANDIDATE,NP2_POLICY,NetworkProjectionCandidate,true,none,on material input/version change
TWIN-G08,NP2_POLICY,NP3_APPROVAL,DisclosureApprovalRequest,decision=APPROVAL_REQUIRED,disclosure_policy,on material input/version change
TWIN-G08,NP2_POLICY,NP4_BUILD,NetworkDisclosureDecision,decision=ALLOW_OR_REDACT,disclosure_policy,on material input/version change
TWIN-G08,NP3_APPROVAL,NP4_BUILD,ApprovedNetworkProjection,approved=true,participant_disclosure_approval,on material input/version change
TWIN-G08,NP4_BUILD,NP5_SEND,NetworkArtifact,true,none,on material input/version change
TWIN-G08,NP5_SEND,NP6_RECON,NetworkDeliveryResult,true,none,on material input/version change
TWIN-G09,CP1_REQUEST,CP2_SEND,NetworkRequest,true,origin_participant_authority,on material input/version change
TWIN-G09,CP2_SEND,CP3_REMOTE,DeliveredNetworkRequest,true,none,on material input/version change
TWIN-G09,CP3_REMOTE,CP4_RETURN,CounterpartyResponse,true,receiver_independent_authority,on material input/version change
TWIN-G09,CP4_RETURN,CP5_RECON,ReturnedNetworkResponse,true,none,on material input/version change
TWIN-G10,CF1_DETECT,CF2_RULE,FactConflict,true,none,on material input/version change
TWIN-G10,CF2_RULE,CF3_REVIEW,ConflictReviewRequest,decision=REVIEW,fact_authority_binding,on material input/version change
TWIN-G10,CF2_RULE,CF4_PROJECT,ResolvedTwinFact,decision=DETERMINISTIC,fact_authority_binding,on material input/version change
TWIN-G10,CF3_REVIEW,CF4_PROJECT,HumanResolvedTwinFact,true,authorized_domain_review,on material input/version change
TWIN-G10,CF4_PROJECT,CF5_IMPACT,TwinCorrectionEvent,true,none,on material input/version change
TWIN-G11,DG1_DETECT,DG2_GATE,IntegrationDegradation,true,none,on material input/version change
TWIN-G11,DG2_GATE,DG3_RECOVER,RecoveryAwait,true,none,on material input/version change
TWIN-G11,DG3_RECOVER,DG4_REPLAY,RecoverySnapshot,true,none,on material input/version change
TWIN-G11,DG4_REPLAY,DG5_RECON,RecoveredChangeSet,true,none,on material input/version change
TWIN-G11,DG5_RECON,DG6_RESUME,RecoveryReconciliationResult,true,none,on material input/version change
TWIN-G12,MD1_REQUEST,MD2_ELIG,ModeChangeProposal,true,none,on material input/version change
TWIN-G12,MD2_ELIG,MD3_IMPACT,ModeEligibilityResult,true,none,on material input/version change
TWIN-G12,MD3_IMPACT,MD4_APPROVE,ModeImpactAssessment,true,none,on material input/version change
TWIN-G12,MD4_APPROVE,MD5_ACTIVATE,ApprovedModeChange,approved=true,customer_configuration_approval,on material input/version change
