department,from_job,to_job,contract
brokerage,Requirements Agent,Carrier Sourcing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Requirements Agent,Carrier Qualification Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Shipment Execution Agent,Tracking/Communication Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Shipment Execution Agent,Facility Coordination Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Shipment Execution Agent,Broker Documentation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Shipment Execution Agent,Accessorial Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Shipper Billing Agent,Accounting,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Shipper Intake Agent,Requirements Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Shipper Pricing Agent,Carrier Sourcing Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Tender/Booking Agent,Broker Shipment Execution Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Tender/Booking Agent,Carrier Agent Organization,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Tracking/Communication Agent,Shipper,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Tracking/Communication Agent,Broker Exception workflow,typed Handoff/Request/Proposal; receiver validates before ownership transfer
brokerage,Broker Transaction Record Service,Compliance Supervisor Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Capacity Agent,Feasibility Engine,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Capacity Agent,Planning Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Chief Dispatch Orchestrator,Load Discovery Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Chief Dispatch Orchestrator,Planning Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Chief Dispatch Orchestrator,Dispatch Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Chief Dispatch Orchestrator,Carrier Exception Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Dispatch Agent,Tracking Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Dispatch Agent,Carrier Exception Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Documentation Agent,Settlement/Reconciliation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Carrier Exception Agent,Planning Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Carrier Exception Agent,Documentation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Carrier Exception Agent,Settlement/Reconciliation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Feasibility Engine,Planning Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Feasibility Engine,Dispatch Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Load Discovery Agent,Profitability Engine,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Load Discovery Agent,Feasibility Engine,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Load Discovery Agent,Planning Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Maintenance Readiness Agent,Capacity Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Maintenance Readiness Agent,Feasibility Engine,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Maintenance Readiness Agent,Carrier Exception Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Carrier Negotiation Agent,Dispatch Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Planning Agent,Carrier Negotiation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Planning Agent,Dispatch Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Profitability Engine,Planning Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Profitability Engine,Carrier Negotiation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Profitability Engine,Settlement/Reconciliation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Carrier Risk & Compliance Agent,Carrier Exception Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Carrier Risk & Compliance Agent,Human Compliance,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Settlement/Reconciliation Agent,RigReceipts,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Settlement/Reconciliation Agent,Accounting,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Tracking Agent,Carrier Exception Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
carrier,Tracking Agent,Documentation Agent,typed Handoff/Request/Proposal; receiver validates before ownership transfer
