department,job,component_class,tools,commands
carrier,Capacity Agent,hybrid_agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; fleet/driver APIs; RigDesk readiness,record_capacity_snapshot; invalidate_capacity_candidate
carrier,Chief Dispatch Orchestrator,agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; workflow registry; operations queue,assign_work_owner; set_work_priority; open_escalation
carrier,Dispatch Agent,agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; TMS assignment adapter; driver communications,assign_driver_equipment; send_dispatch_instruction; cancel_dispatch_instruction
carrier,Documentation Agent,hybrid_agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; document store; OCR sandbox,record_document; request_document_correction; mark_document_requirement_satisfied
carrier,Carrier Exception Agent,agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; case manager,open_exception; update_exception; request_replan; send_exception_notice; resolve_exception
carrier,Feasibility Engine,hybrid_agent,HOS/ELD adapter; equipment capability service; RigDesk readiness; route/time service,record_feasibility_result
carrier,Load Discovery Agent,agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; approved load-source adapters; source registry,record_opportunity; quarantine_opportunity; expire_opportunity
carrier,Maintenance Readiness Agent,hybrid_agent,RigDesk API/events; maintenance policy; evidence retrieval,record_readiness_assertion; open_service_dependency; request_replan
carrier,Carrier Negotiation Agent,agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; communications gateway; negotiation state,send_carrier_counter; send_carrier_acceptance; withdraw_carrier_offer
carrier,Planning Agent,agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; route/distance service; planning optimizer,record_plan_proposal; request_replan
carrier,Profitability Engine,deterministic_service,versioned calculator; cost-profile store,record_profitability_result
carrier,Carrier Risk & Compliance Agent,human_supervised_agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; credential/authority adapters; risk case manager,open_risk_case; recommend_hold; request_compliance_review
carrier,Settlement/Reconciliation Agent,hybrid_agent,deterministic money engine; accounting adapter; evidence store,create_invoice_packet; export_invoice; record_payment_status; open_settlement_discrepancy
carrier,Tracking Agent,hybrid_agent,tenant-scoped read model; evidence retrieval; policy query; approved communications gateway; telematics adapter; FacilityOS events; ETA service,record_shipment_status; publish_status_assertion; open_exception
facility,Appointment Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Capacity/Labor Planning Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Cargo/Order Readiness Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Facility Integration/Configuration Steward,human_supervised_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Custody/Evidence Agent,human_supervised_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Facility Customer Communication Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Detention Clock Service,deterministic_service,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Discrepancy Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Dock Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Document/BOL Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Carrier/Driver Coordination Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Facility Exception Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Gate Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Load/Unload Verification Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Facility Operations Orchestrator,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Receiving Office Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Shipping Office Agent,agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
facility,Yard Orchestration Agent,hybrid_agent,tenant-scoped read model; FOT retrieval; policy query; FacilityOS domain services; evidence retrieval; approved communications gateway,facility_typed_command
service_provider,Service Appointment/Dispatch Agent,agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Service Capacity Agent,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Service Customer Communication Agent,agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Service Eligibility Engine,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Estimate Agent,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Service Evidence Agent,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Service Invoice/Reconciliation Agent,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Parts & Dependency Agent,agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Service Intake Agent,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
service_provider,Work Status Agent,hybrid_agent,tenant-scoped read model; SPOT/RigDesk retrieval; policy query; provider domain services; evidence retrieval; approved communications gateway,service_provider_typed_command
shipper,Shipper Documentation Agent,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Shipper Exception Agent,agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Shipper Facility Coordination Agent,agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Invoice Audit Engine,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Provider/Carrier Selection Agent,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Quote Analysis Agent,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Shipper Requirements Agent,agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Routing Guide Engine,deterministic_service,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Service Analytics Agent,agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Shipment Intake Agent,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Shipper Tender Agent,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
shipper,Shipper Tracking Agent,hybrid_agent,tenant-scoped read model; SOT retrieval; policy query; shipper domain services; evidence retrieval; approved communications gateway,shipper_typed_command
