department,job,component_class,mission
service_provider,Service Intake Agent,hybrid_agent,"Convert roadside/repair/service requests into canonical service cases with exact asset, location, symptom, urgency and requester context."
service_provider,Work Status Agent,hybrid_agent,Maintain service work-order status and ETA from authoritative provider/technician systems.
shipper,Shipper Documentation Agent,hybrid_agent,Track shipper-required transportation/commercial documents and authoritative references.
shipper,Shipper Exception Agent,agent,"Own shipper-side service exceptions, internal stakeholder coordination and approved counterparty actions."
shipper,Shipper Facility Coordination Agent,agent,Coordinate shipper-owned origin/destination facility requirements and appointments through FacilityOS/network.
shipper,Invoice Audit Engine,hybrid_agent,"Audit carrier/broker invoices against contracted/tendered terms, approved accessorials and execution evidence."
shipper,Provider/Carrier Selection Agent,hybrid_agent,"Select an eligible contracted carrier/broker/provider according to routing, service, cost and legal-plane policy."
shipper,Quote Analysis Agent,hybrid_agent,"Compare authorized carrier/broker quotes against requirements, routing, price, service and policy."
shipper,Shipper Requirements Agent,agent,Translate order/contract needs into explicit transportation service requirements.
shipper,Routing Guide Engine,deterministic_service,Apply shipper-approved routing-guide sequence and eligibility rules.
shipper,Service Analytics Agent,agent,"Analyze transportation service performance, recurring exceptions, provider outcomes and improvement opportunities."
shipper,Shipment Intake Agent,hybrid_agent,Convert shipper orders/requests into canonical transportation demand with exact provenance.
shipper,Shipper Tender Agent,hybrid_agent,Issue exact-version direct-carrier or broker tenders according to the chosen legal/contract path.
shipper,Shipper Tracking Agent,hybrid_agent,Maintain shipper-visible execution state from broker/carrier/facility assertions.
